ID;lon;lat;all_tags;name;zip;address;city;WKT
79;13.40;52.38;DKV - ESSO Station  12305 Berlin  Lichtenrader Damm 270 / 274;ESSO;12305;Lichtenrader Damm 270 / 274;Berlin;POINT(13.40843 52.387691)
80;13.42;52.45;DKV - ESSO Station  12347 Berlin  Tempelhofer Weg 32;ESSO;12347;Tempelhofer Weg 32;Berlin;POINT(13.426262 52.456841)
81;13.43;52.45;DKV - TOTAL Station  12347 Berlin  Britzer Damm 62;TOTAL;12347;Britzer Damm 62;Berlin;POINT(13.436193 52.457108)
82;13.40;52.41;DKV - ESSO Station  12349 Berlin  Marienfelder Chaussee 171;ESSO;12349;Marienfelder Chaussee 171;Berlin;POINT(13.401929 52.414526)
83;13.47;52.43;DKV - SPRINT Station  12351 Berlin  Rudower Str. 148;SPRINT;12351;Rudower Str. 148;Berlin;POINT(13.471099 52.433153)
84;13.46;52.43;DKV - STAR Station  12351 Berlin  Johannisthaler Chaussee 263;STAR;12351;Johannisthaler Chaussee 263;Berlin;POINT(13.460696 52.431961)
85;13.47;52.42;DKV - ESSO Station  12353 Berlin  Fritz-Erler-Allee 154;ESSO;12353;Fritz-Erler-Allee 154;Berlin;POINT(13.474281 52.425434)
86;13.48;52.42;DKV - ARAL Station  12357 Berlin  Neukölllner Str. 250;ARAL;12357;Neukölllner Str. 250;Berlin;POINT(13.4820434 52.4264181)
87;13.48;52.42;DKV - TOTAL Station  12357 Berlin  Neuköllner Str. 294;TOTAL;12357;Neuköllner Str. 294;Berlin;POINT(13.4870552 52.4226676)
88;13.44;52.45;DKV - ARAL Station  12359 Berlin  Buschkrugallee 92;ARAL;12359;Buschkrugallee 92;Berlin;POINT(13.4494052 52.4563382)
89;13.45;52.44;DKV - SPRINT Station  12359 Berlin  Grüner Weg 75;SPRINT;12359;Grüner Weg 75;Berlin;POINT(13.458465 52.444457)
90;13.45;52.45;DKV - TOTAL Station  12359 Berlin  Späthstraße 158;TOTAL;12359;Späthstraße 158;Berlin;POINT(13.456582 52.453108)
91;13.47;52.48;DKV - TOTAL Station  12435 Berlin  Bulgarische Straße 9;TOTAL;12435;Bulgarische Straße 9;Berlin;POINT(13.4784764 52.4837269)
92;13.49;52.46;DKV - ARAL Station  12437 Berlin  Köpenicker Landstr. 296;ARAL;12437;Köpenicker Landstr. 296;Berlin;POINT(13.4960824 52.465643)
93;13.50;52.45;DKV - ARAL Station  12439 Berlin  Schnellerstr. 20;ARAL;12439;Schnellerstr. 20;Berlin;POINT(13.5049442 52.4596433)
94;13.51;52.45;DKV - FREIE Station  12439 Berlin  Michael-Brückner-Str. 26;FREIE;12439;Michael-Brückner-Str. 26;Berlin;POINT(13.5133668 52.4538484)
95;13.51;52.45;DKV - JET Station  12439 Berlin  Michael-Brückner-Str. 25;JET;12439;Michael-Brückner-Str. 25;Berlin;POINT(13.5149645 52.4526226)
96;13.52;52.44;DKV - STAR Station  12439 Berlin  Adlergestell 121;STAR;12439;Adlergestell 121;Berlin;POINT(13.526997 52.445432)
97;13.55;52.45;DKV - ARAL Station  12459 Berlin  An der Wuhlheide 240;ARAL;12459;An der Wuhlheide 240;Berlin;POINT(13.5557086 52.4552775)
98;13.50;52.48;DKV - SHELL Station  12459 Berlin  Rummelsburger Landstr. 16;SHELL;12459;Rummelsburger Landstr. 16;Berlin;POINT(13.502121 52.48133)
99;13.54;52.43;DKV - AGIP Station  12489 Berlin  Adlergestell 289;AGIP;12489;Adlergestell 289;Berlin;POINT(13.546866 52.4316955)
100;13.53;52.44;DKV - ELAN Station  12489 Berlin  Adlergestell 179;ELAN;12489;Adlergestell 179;Berlin;POINT(13.5329718 52.4412849)
101;13.54;52.43;DKV - HEM Station  12489 Berlin  Adlergestell 305;HEM;12489;Adlergestell 305;Berlin;POINT(13.549012 52.430478)
102;13.55;52.43;DKV - JET Station  12489 Berlin  Glienicker Weg 105-107;JET;12489;Glienicker Weg 105-107;Berlin;POINT(13.559597 52.435057)
103;13.55;52.43;DKV - CleanCar Station  12490 Berlin  Glienicker Weg 182;CleanCar;12490;Glienicker Weg 182;Berlin;POINT(13.552698 52.431031)
104;13.55;52.42;DKV - STAR Station  12527 Berlin  Adlergestell 391;STAR;12527;Adlergestell 391;Berlin;POINT(13.559403 52.423631)
105;13.57;52.41;DKV - TOTAL Station  12527 Berlin  Adlergestell 543;TOTAL;12527;Adlergestell 543;Berlin;POINT(13.5727939 52.4142465)
106;13.63;52.38;DKV - TOTAL Station  12527 Berlin  Adlergestell 623;TOTAL;12527;Adlergestell 623;Berlin;POINT(13.6314454 52.3872392)
107;13.58;52.45;DKV - FREIE Station  12555 Berlin  Friedrichshagener Str. 4;FREIE;12555;Friedrichshagener Str. 4;Berlin;POINT(13.5815091 52.4518776)
108;13.57;52.47;DKV - HEM Station  12555 Berlin  Kaulsdorfer Str. 124;HEM;12555;Kaulsdorfer Str. 124;Berlin;POINT(13.571344 52.471998)
109;13.59;52.45;DKV - JET Station  12555 Berlin  Bellevuestr. 14;JET;12555;Bellevuestr. 14;Berlin;POINT(13.5926628 52.4527665)
110;13.56;52.44;DKV - TOTAL Station  12555 Berlin  Oberspreestr. 138;TOTAL;12555;Oberspreestr. 138;Berlin;POINT(13.5616268 52.4460125)
111;13.66;52.40;DKV - SPRINT Station  12559 Berlin  Gosener Damm 15;SPRINT;12559;Gosener Damm 15;Berlin;POINT(13.666439 52.409844)
112;13.62;52.45;DKV - ARAL Station  12587 Berlin  Fürstenwalder Straße 445 - 447;ARAL;12587;Fürstenwalder Straße 445 - 447;Berlin;POINT(13.6211381 52.4563217)
113;13.61;52.45;DKV - ELAN Station  12587 Berlin  Fürstenwalder Damm 418;ELAN;12587;Fürstenwalder Damm 418;Berlin;POINT(13.6169401 52.4550093)
114;13.69;52.43;DKV - ESSO Station  12589 Berlin  Fuerstenwalder Allee 100;ESSO;12589;Fuerstenwalder Allee 100;Berlin;POINT(13.695944 52.436652)
115;13.58;52.51;DKV - AGIP Station  12619 Berlin  Gülzower Str. 15 a;AGIP;12619;Gülzower Str. 15 a;Berlin;POINT(13.5815281 52.5140516)
116;13.57;52.49;DKV - ESSO Station  12621 Berlin  Chemnitzer Str. 179;ESSO;12621;Chemnitzer Str. 179;Berlin;POINT(13.5756174 52.4901609)
117;13.61;52.50;DKV - AGIP Station  12623 Berlin  Alt-Mahlsdorf 93 - 94;AGIP;12623;Alt-Mahlsdorf 93 - 94;Berlin;POINT(13.6192233 52.5039023)
118;13.61;52.50;DKV - HEM Station  12623 Berlin  Alt-Mahlsdorf 40;HEM;12623;Alt-Mahlsdorf 40;Berlin;POINT(13.6169743 52.5049962)
119;13.61;52.50;DKV - STAR Station  12623 Berlin  Alt-Mahlsdorf 117;STAR;12623;Alt-Mahlsdorf 117;Berlin;POINT(13.611094 52.504464)
120;13.62;52.50;DKV - TOTAL Station  12623 Berlin  Alt-Mahlsdorf 60;TOTAL;12623;Alt-Mahlsdorf 60;Berlin;POINT(13.6241447 52.5039812)
121;13.62;52.53;DKV - HEM Station  12627 Berlin  Riesaer Str. 121;HEM;12627;Riesaer Str. 121;Berlin;POINT(13.624688 52.530118)
122;13.55;52.55;DKV - ARAL Station  12679 Berlin  Märkische Allee 248;ARAL;12679;Märkische Allee 248;Berlin;POINT(13.5514928 52.5540477)
123;13.54;52.55;DKV - JET Station  12679 Berlin  Märkische Allee 246;JET;12679;Märkische Allee 246;Berlin;POINT(13.549785 52.5518802)
124;13.53;52.53;DKV - ARAL Station  12681 Berlin  Märkische Allee 155;ARAL;12681;Märkische Allee 155;Berlin;POINT(13.5365648 52.5320112)
125;13.57;52.54;DKV - ARAL Station  12681 Berlin  Landsberger Allee 534;ARAL;12681;Landsberger Allee 534;Berlin;POINT(13.574106 52.546449)
126;13.53;52.53;DKV - CleanCar Station  12681 Berlin  Marzahner Chaussee 232;CleanCar;12681;Marzahner Chaussee 232;Berlin;POINT(13.532585 52.531024)
127;13.54;52.52;DKV - SB Station  12681 Berlin  Märkische Allee 61;SB;12681;Märkische Allee 61;Berlin;POINT(13.5408053 52.5215722)
128;13.52;52.55;DKV - FREIE Station  12681 Berlin  Bitterfelder Str. 29;FREIE;12681;Bitterfelder Str. 29;Berlin;POINT(13.5284805 52.5566365)
129;13.51;52.51;DKV - TOTAL Station  12681 Berlin  Rhinstr. 52;TOTAL;12681;Rhinstr. 52;Berlin;POINT(13.51958 52.5185112)
130;13.56;52.54;DKV - TOTAL Station  12681 Berlin  Landsberger Allee 526;TOTAL;12681;Landsberger Allee 526;Berlin;POINT(13.568946 52.545014)
131;13.52;52.53;DKV - TOTAL Station  12681 Berlin  Landsberger Allee 376;TOTAL;12681;Landsberger Allee 376;Berlin;POINT(13.5226412 52.5357281)
132;13.53;52.51;DKV - ARAL Station  12683 Berlin  Alt-Friedrichsfelde 64;ARAL;12683;Alt-Friedrichsfelde 64;Berlin;POINT(13.5386157 52.5101421)
133;13.54;52.51;DKV - HOYER Station  12683 Berlin  Alt-Friedrichsfelde 63 b;HOYER;12683;Alt-Friedrichsfelde 63 b;Berlin;POINT(13.543332 52.51273)
134;13.56;52.49;DKV - JET Station  12683 Berlin  Köpenicker Straße 108;JET;12683;Köpenicker Straße 108;Berlin;POINT(13.5612273 52.4921487)
135;13.56;52.53;DKV - JET Station  12683 Berlin  Elisabethstr. 111;JET;12683;Elisabethstr. 111;Berlin;POINT(13.5658333 52.535)
136;13.56;52.51;DKV - STAR Station  12683 Berlin  Altentreptower Str. 2;STAR;12683;Altentreptower Str. 2;Berlin;POINT(13.563619 52.513204)
137;13.56;52.57;DKV - AGIP Station  12689 Berlin  Ahrensfelder Chaussee 152;AGIP;12689;Ahrensfelder Chaussee 152;Berlin;POINT(13.5647851 52.5720616)
138;13.49;52.56;DKV - STAR Station  13051 Berlin  Hansastr. 220;STAR;13051;Hansastr. 220;Berlin;POINT(13.496511 52.56023)
139;13.49;52.56;DKV - TOTAL Station  13051 Berlin  Ribnitzer Str. 42;TOTAL;13051;Ribnitzer Str. 42;Berlin;POINT(13.492411 52.5659164)
140;13.46;52.54;DKV - ESSO Station  13053 Berlin  Indira-Gandhi-Str. 75;ESSO;13053;Indira-Gandhi-Str. 75;Berlin;POINT(13.469289 52.542891)
141;13.51;52.55;DKV - STAR Station  13053 Berlin  Gehrenseestr. 10;STAR;13053;Gehrenseestr. 10;Berlin;POINT(13.5136824 52.5509212)
142;13.51;52.53;DKV - TOTAL Station  13053 Berlin  Rhinstr. 175;TOTAL;13053;Rhinstr. 175;Berlin;POINT(13.51602 52.5367596)
143;13.46;52.54;DKV - TOTAL Station  13053 Berlin  Indira-Gandhi-Str. 108;TOTAL;13053;Indira-Gandhi-Str. 108;Berlin;POINT(13.4674963 52.5475625)
144;13.50;52.54;DKV - JET Station  13055 Berlin  Rhinstr. 240;JET;13055;Rhinstr. 240;Berlin;POINT(13.509418 52.547274)
145;13.52;52.55;DKV - STAR Station  13057 Berlin  Pablo-Picasso-Straße 50;STAR;13057;Pablo-Picasso-Straße 50;Berlin;POINT(13.527348 52.557019)
146;13.43;52.55;DKV - CleanCar Station  13086 Berlin  Am Steinberg 21;CleanCar;13086;Am Steinberg 21;Berlin;POINT(13.432379 52.557877)
147;13.47;52.56;DKV - HEM Station  13088 Berlin  Berliner Allee 320;HEM;13088;Berliner Allee 320;Berlin;POINT(13.471759 52.56561)
148;13.46;52.56;DKV - STAR Station  13088 Berlin  Berliner Allee 257;STAR;13088;Berliner Allee 257;Berlin;POINT(13.467049 52.560855)
149;13.49;52.55;DKV - STAR Station  13088 Berlin  Hansastr. 199;STAR;13088;Hansastr. 199;Berlin;POINT(13.491865 52.55885)
150;13.47;52.56;DKV - STAR Station  13088 Berlin  Malchower Chaussee 1;STAR;13088;Malchower Chaussee 1;Berlin;POINT(13.4714055 52.5661319)
151;13.45;52.56;DKV - TOTAL Station  13088 Berlin  Roelckestr. 76;TOTAL;13088;Roelckestr. 76;Berlin;POINT(13.4586316 52.562085)
152;13.43;52.55;DKV - ELAN Station  13089 Berlin  Tino-Schwierzina-Str. 37;ELAN;13089;Tino-Schwierzina-Str. 37;Berlin;POINT(13.4328085 52.5584736)
153;13.42;52.56;DKV - HEM Station  13089 Berlin  Prenzlauer Promenade 68;HEM;13089;Prenzlauer Promenade 68;Berlin;POINT(13.428018 52.567964)
154;13.44;52.56;DKV - HEM Station  13089 Berlin  Romain-Rolland-Str. 2;HEM;13089;Romain-Rolland-Str. 2;Berlin;POINT(13.448933 52.564684)
155;13.42;52.55;DKV - JET Station  13089 Berlin  Prenzlauer Promenade 42 a;JET;13089;Prenzlauer Promenade 42 a;Berlin;POINT(13.428374 52.5592073)
156;13.42;52.57;DKV - SHELL Station  13089 Berlin  Rothenbachstr. 1;SHELL;13089;Rothenbachstr. 1;Berlin;POINT(13.4296708 52.5717292)
157;13.44;52.57;DKV - SPRINT Station  13089 Berlin  Blankenburger Str. 99;SPRINT;13089;Blankenburger Str. 99;Berlin;POINT(13.442953 52.57141)
158;13.42;52.56;DKV - STAR Station  13089 Berlin  Prenzlauer Promenade 72;STAR;13089;Prenzlauer Promenade 72;Berlin;POINT(13.428683 52.56876)
159;13.51;52.64;DKV - TOTAL Station  13125 Berlin  Zepernicker Str. 9;TOTAL;13125;Zepernicker Str. 9;Berlin;POINT(13.5139655 52.6411088)
160;13.42;52.58;DKV - ARAL Station  13127 Berlin  Pasewalker Str. 110;ARAL;13127;Pasewalker Str. 110;Berlin;POINT(13.429862 52.586161)
161;13.43;52.61;DKV - HEM Station  13127 Berlin  Schönerlinder Str. 60;HEM;13127;Schönerlinder Str. 60;Berlin;POINT(13.433323 52.613208)
162;13.43;52.60;DKV - JET Station  13127 Berlin  Hauptstr. 70 A;JET;13127;Hauptstr. 70 A;Berlin;POINT(13.4332658 52.6062733)
163;13.43;52.58;DKV - TOTAL Station  13127 Berlin  Am Feuchten Winkel 11;TOTAL;13127;Am Feuchten Winkel 11;Berlin;POINT(13.432133 52.581867)
164;13.40;52.58;DKV - BFT Station  13156 Berlin  Blankenburger Str. 36;BFT;13156;Blankenburger Str. 36;Berlin;POINT(13.409843 52.581976)
165;13.40;52.58;DKV - TOTAL Station  13156 Berlin  Wackenbergstr. 2;TOTAL;13156;Wackenbergstr. 2;Berlin;POINT(13.403765 52.582932)
166;13.40;52.59;DKV - AGIP Station  13158 Berlin  Dietzgenstr. 127;AGIP;13158;Dietzgenstr. 127;Berlin;POINT(13.402666 52.594426)
167;13.37;52.57;DKV - TAMOIL Station  13158 Berlin  Straße vor Schönholz 3;TAMOIL;13158;Straße vor Schönholz 3;Berlin;POINT(13.3788208 52.5764503)
168;13.40;52.56;DKV - ARAL Station  13187 Berlin  Mühlenstr. 26;ARAL;13187;Mühlenstr. 26;Berlin;POINT(13.4079172 52.5639649)
169;13.34;52.53;DKV - AGIP Station  13353 Berlin  Westhafenstr. 1;AGIP;13353;Westhafenstr. 1;Berlin;POINT(13.3416193 52.5374773)
170;13.34;52.54;DKV - ARAL Station  13353 Berlin  Seestr. 18/19;ARAL;13353;Seestr. 18/19;Berlin;POINT(13.3449811 52.546448)
171;13.32;52.53;DKV - SB Station  13353 Berlin  Seestr. 1;SB;13353;Seestr. 1;Berlin;POINT(13.3276961 52.5382764)
172;13.36;52.54;DKV - HEM Station  13353 Berlin  Müllerstr. 168;HEM;13353;Müllerstr. 168;Berlin;POINT(13.365296 52.542397)
173;13.39;52.54;DKV - ARAL Station  13355 Berlin  Brunnenstr. 119;ARAL;13355;Brunnenstr. 119;Berlin;POINT(13.393469 52.540795)
174;13.31;52.57;DKV - TOTAL Station  13403 Berlin  Eichborndamm 91;TOTAL;13403;Eichborndamm 91;Berlin;POINT(13.314641 52.576322)
175;13.32;52.56;DKV - ARAL Station  13405 Berlin  Scharnweberstr. 12 - 13;ARAL;13405;Scharnweberstr. 12 - 13;Berlin;POINT(13.3297429 52.5632363)
176;13.32;52.56;DKV - JET Station  13405 Berlin  Kurt-Schumacher-Damm 36;JET;13405;Kurt-Schumacher-Damm 36;Berlin;POINT(13.32712 52.56149)
177;13.34;52.57;DKV - ARAL Station  13407 Berlin  Roedernallee 179;ARAL;13407;Roedernallee 179;Berlin;POINT(13.3464986 52.5793506)
178;13.33;52.56;DKV - ESSO Station  13407 Berlin  Holländerstr. 52;ESSO;13407;Holländerstr. 52;Berlin;POINT(13.335623 52.564594)
179;13.36;52.57;DKV - HOYER Station  13407 Berlin  Kopenhagener Straße 36 / 58;HOYER;13407;Kopenhagener Straße 36 / 58;Berlin;POINT(13.3606 52.577301)
